Point ID,Lat Offset,Lon Offset,GC Code,Latitude,Longitude,Reflected GC Code,Reflected Latitude,Reflected Longitude,N41 MM.MMM,W92 MM.MMM,Reflected W92 MM.MMM
Magn,1.250000,,,,,,,,,,
Center,0.000000,0.000000,https://coord.info/GC7MRCH,41.99,-92.54883,,,,59.400,32.930,
Top,0.005588,0.000000,https://coord.info/GC7MRD7,41.996985,-92.54883,,,,59.819,32.930,
2,0.006654,0.001590,https://coord.info/GC7MREG,41.9983175,-92.5468425,https://coord.info/GC7MRF0,41.9983175,-92.5508175,59.899,32.811,33.049
3,0.006641,0.003350,https://coord.info/GC7MRF7,41.99830125,-92.5446425,https://coord.info/GC7MRFA,41.99830125,-92.5530175,59.898,32.679,33.181
4,0.005739,0.004786,https://coord.info/GC7MRFC,41.99717375,-92.5428475,https://coord.info/GC7MRFH,41.99717375,-92.5548125,59.830,32.571,33.289
5,0.004316,0.005162,https://coord.info/GC7MRFR,41.995395,-92.5423775,https://coord.info/GC7MRG4,41.995395,-92.5552825,59.724,32.543,33.317
6,0.002842,0.003983,https://coord.info/GC7MRGQ,41.9935525,-92.54385125,https://coord.info/GC7MRGT,41.9935525,-92.55380875,59.613,32.631,33.229
7,0.001648,0.002359,https://coord.info/GC7MRGZ,41.99206,-92.54588125,https://coord.info/GC7MRH3,41.99206,-92.55177875,59.524,32.753,33.107
8,0.000868,0.001240,https://coord.info/GC7MRHA,41.991085,-92.54728,https://coord.info/GC7MRHF,41.991085,-92.55038,59.465,32.837,33.023
9,-0.001327,0.000808,https://coord.info/GC7MRJ0,41.98834125,-92.54782,https://coord.info/GC7MRJ8,41.98834125,-92.54984,59.300,32.869,32.990
10,-0.002817,0.001650,https://coord.info/GC7MRJF,41.98647875,-92.5467675,https://coord.info/GC7MRJQ,41.98647875,-92.5508925,59.189,32.806,33.054
11,-0.004330,0.002770,https://coord.info/GC7MRM5,41.9845875,-92.5453675,https://coord.info/GC7MRMA,41.9845875,-92.5522925,59.075,32.722,33.138
12,-0.005044,0.004953,https://coord.info/GC7MRME,41.983695,-92.54263875,https://coord.info/GC7MRMJ,41.983695,-92.55502125,59.022,32.558,33.301
13,-0.004509,0.007048,https://coord.info/GC7MRMN,41.98436375,-92.54002,https://coord.info/GC7MRMV,41.98436375,-92.55764,59.062,32.401,33.458
14,-0.003065,0.007747,https://coord.info/GC7MRMX,41.98616875,-92.53914625,https://coord.info/GC7MRN1,41.98616875,-92.55851375,59.170,32.349,33.511
15,-0.001702,0.006896,https://coord.info/GC7MRN2,41.9878725,-92.54021,https://coord.info/GC7MRN6,41.9878725,-92.55745,59.272,32.413,33.447
16,-0.000875,0.008905,https://coord.info/GC7MRNA,41.98890625,-92.53769875,https://coord.info/GC7MRNE,41.98890625,-92.55996125,59.334,32.262,33.598
17,0.000666,0.009276,https://coord.info/GC7MRNT,41.9908325,-92.537235,https://coord.info/GC7MRNX,41.9908325,-92.560425,59.450,32.234,33.625
18,0.001846,0.008308,https://coord.info/GC7MRP0,41.9923075,-92.538445,https://coord.info/GC7MRP3,41.9923075,-92.559215,59.538,32.307,33.553
19,0.002345,0.006129,https://coord.info/GC7MRP7,41.99293125,-92.54116875,https://coord.info/GC7MRPC,41.99293125,-92.55649125,59.576,32.470,33.389
20,0.001630,0.003674,https://coord.info/GC7MRPH,41.9920375,-92.5442375,https://coord.info/GC7MRPP,41.9920375,-92.5534225,59.522,32.654,33.205
S2,0.003000,0.000032,https://coord.info/GC7MRPT,41.98625,-92.54887,,,,59.175,32.932,
S3,0.005000,0.000100,https://coord.info/GC7MRPY,41.98375,-92.548955,,,,59.025,32.937,
S4,0.007000,0.000500,https://coord.info/GC7MRQ0,41.98125,-92.549455,,,,58.875,32.967,
S5,0.009000,0.000900,https://coord.info/GC7MRQ3,41.97875,-92.549955,,,,58.725,32.997,
,,,,,,,,,,,
